time,open,high,low,close,Volume,Volume MA
2019-08-21T21:00:00-03:00,10123.56,10238.29,9755.53,10112.01,6710.30664788,9101.192645821564
2019-08-22T21:00:00-03:00,10112.45,10479,10051,10401.6,5557.29144342,9029.251356583565
2019-08-23T21:00:00-03:00,10401.87,10432,9885.48,10149.7,5106.55673687,8906.762731915065
2019-08-24T21:00:00-03:00,10149.38,10355.89,9907.86,10136.75,3953.39528117,8241.409707307565
2019-08-25T21:00:00-03:00,10136.75,10650,10136.75,10360.97,7166.67534085,7778.714516173064
2019-08-26T21:00:00-03:00,10355.11,10375.53,10019.1,10167.29,4781.3350218,7243.758505138566
2019-08-27T21:00:00-03:00,10171.39,10280.71,9555,9711.78,9303.15591906,7201.6931956495655
2019-08-28T21:00:00-03:00,9720.2,9720.2,9320,9490,7717.10637568,7220.702771981067
2019-08-29T21:00:00-03:00,9490.56,9700,9350.1,9579.75,5317.3097001,7114.205839924068
2019-08-30T21:00:00-03:00,9569.3,9682.73,9443.19,9594.15,1572.15542709,6974.744076687568
2019-08-31T21:00:00-03:00,9593.5,9832,9538.75,9767.53,1799.36720121,6893.826968916068
2019-09-01T21:00:00-03:00,9767.56,10471,9753.24,10384.48,6144.79883515,6750.907966356567
2019-09-02T21:00:00-03:00,10384.07,10783,10286,10617.61,11443.53849727,6689.137831485068
2019-09-03T21:00:00-03:00,10617.72,10834.15,10378.7,10586.26,10088.7236301,6439.415349824068
2019-09-04T21:00:00-03:00,10586.26,10664.13,10461.97,10573.66,4555.62463429,6113.176598473067
2019-09-05T21:00:00-03:00,10573.04,10949,10204.18,10311.09,10701.50994422,6452.8756757595675
2019-09-06T21:00:00-03:00,10309.04,10580,10297.58,10484.39,3148.50895336,6440.380130092067
2019-09-07T21:00:00-03:00,10497.57,10594.88,10229.49,10400.18,3130.86103548,6194.722114452067
2019-09-08T21:00:00-03:00,10387.33,10542.93,10060,10307.45,6059.76274364,6203.530253996568
2019-09-09T21:00:00-03:00,10317.62,10390.09,9910,10096,4658.92141056,5945.845238960067
2019-09-10T21:00:00-03:00,10093.39,10243.01,9855.11,10154.46,4614.34849343,5841.047331237567
2019-09-11T21:00:00-03:00,10163.81,10465,10027.52,10420.34,4719.04668642,5799.135093387567
2019-09-12T21:00:00-03:00,10423.99,10458.13,10153.87,10368.65,3755.41742244,5731.578127666067
2019-09-13T21:00:00-03:00,10365.81,10441.47,10217.01,10355.37,2656.15453049,5666.716090132068
2019-09-14T21:00:00-03:00,10362.52,10383.2,10258.49,10305.74,2297.72276878,5423.268461528568
2019-09-15T21:00:00-03:00,10320.36,10378.07,10060.95,10269.98,5496.03749388,5459.003585132568
2019-09-16T21:00:00-03:00,10257.2,10280.53,10130.59,10195.73,5078.59865576,5247.775721967568
2019-09-17T21:00:00-03:00,10182.96,10263.65,10080,10152.09,3952.00683587,5059.520744977068
2019-09-18T21:00:00-03:00,10161.59,10380.07,9600,10271.53,7455.91141166,5166.450830555068
2019-09-19T21:00:00-03:00,10284.72,10308.04,10055,10169.02,4463.38202069,5311.012160235068
2019-09-20T21:00:00-03:00,10169.02,10180.43,9913.35,9985.28,4148.89981496,5428.488790922567
2019-09-21T21:00:00-03:00,9973,10093.24,9842.35,10020.58,3213.9540957,5281.946553950068
2019-09-22T21:00:00-03:00,10022.38,10048.06,9606,9682.19,5447.96313246,4982.167785709568
