time,open,high,low,close
2009-04-07T22:00:00Z,48.47,51.3,47.37,50.1
2009-04-08T22:00:00Z,49.96,52.45,49.72,52.19
2009-04-12T22:00:00Z,52,52.15,48.84,49.89
2009-04-13T22:00:00Z,49.96,51.12,48.85,49.16
2009-04-14T22:00:00Z,49.16,50.79,48.91,49.91
2009-04-15T22:00:00Z,49.7,50.48,49.11,49.98
2009-04-16T22:00:00Z,49.93,51.37,49.41,50.33
2009-04-19T22:00:00Z,50.16,50.31,45.44,45.44
2009-04-20T22:00:00Z,48.24,49.29,46.72,48.55
2009-04-21T22:00:00Z,48.68,49.09,47.7,48.65
2009-04-22T22:00:00Z,48.49,49.92,48.37,49.61
2009-04-23T22:00:00Z,49.65,51.75,49.06,51.55
2009-04-26T22:00:00Z,51.45,51.45,48.01,50.09
2009-04-27T22:00:00Z,50.1,50.19,48.55,49.23
2009-04-28T22:00:00Z,49.25,51.42,49.12,50.76
2009-04-29T22:00:00Z,50.79,51.94,50.21,50.89
2009-04-30T22:00:00Z,50.95,53.65,50.43,52.61
2009-05-03T22:00:00Z,52.62,54.64,52.56,54.5
2009-05-04T22:00:00Z,54.46,54.83,53.5,54.15
2009-05-05T22:00:00Z,54.12,56.47,53.57,56.33
2009-05-06T22:00:00Z,56.3,58.57,55.46,56.49
2009-05-07T22:00:00Z,56.5,58.75,56.15,58.63
2009-05-10T22:00:00Z,58.49,58.63,56.78,58.11
2009-05-11T22:00:00Z,58.1,60.08,57.81,59.32
2009-05-12T22:00:00Z,59.29,59.9,57.41,57.7
2009-05-13T22:00:00Z,57.73,59,56.55,58.62
2009-05-14T22:00:00Z,58.54,58.88,56.07,56.34
2009-05-17T22:00:00Z,56.47,59.33,56.12,59.16
2009-05-18T22:00:00Z,59.74,60.99,58.93,60.49
2009-05-19T22:00:00Z,60.18,62.26,59.86,61.68
2009-05-20T22:00:00Z,61.68,61.87,59.92,61.08
2009-05-21T22:00:00Z,61.05,61.98,60.5,61.55
2009-05-25T22:00:00Z,61.5,62.54,59.53,62.54
2009-05-26T22:00:00Z,62.87,63.82,62.19,62.9
2009-05-27T22:00:00Z,62.91,65.44,62.75,64.77
2009-05-28T22:00:00Z,64.77,66.64,64.68,66.64
2009-05-31T22:00:00Z,66.48,68.68,66.23,68.06
2009-06-01T22:00:00Z,68.04,69.05,67.5,68.16
2009-06-02T22:00:00Z,68.25,68.95,64.95,65.97
2009-06-03T22:00:00Z,66.09,69.6,65.92,68.9
2009-06-04T22:00:00Z,68.73,70.32,67.54,68.38
2009-06-07T22:00:00Z,68.32,68.95,66.78,68.82
2009-06-08T22:00:00Z,68.69,70.69,68.43,70.61
2009-06-09T22:00:00Z,70.51,71.79,70.43,71.5
2009-06-10T22:00:00Z,71.46,73.23,71.32,72.49
2009-06-11T22:00:00Z,72.43,72.63,70.8,72.25
2009-06-14T22:00:00Z,72.2,72.35,69.58,70.25
2009-06-15T22:00:00Z,70.31,72.77,69.8,70.26
2009-06-16T22:00:00Z,70.26,71.28,69,70.84
2009-06-17T22:00:00Z,70.82,71.75,70.22,71.33
2009-06-18T22:00:00Z,71.35,72.3,68.9,69.4
2009-06-21T22:00:00Z,70.2,70.3,66.67,67.19
2009-06-22T22:00:00Z,67.15,69.68,66.37,68.45
2009-06-23T22:00:00Z,68.55,69.86,68.06,68.4
2009-06-24T22:00:00Z,68.29,70.93,68.11,70.42
2009-06-25T22:00:00Z,70.34,71.29,68.81,69.44
2009-06-28T22:00:00Z,69.25,71.92,68.36,71.58
2009-06-29T22:00:00Z,71.6,73.38,68.9,70.6
2009-06-30T22:00:00Z,70.45,71.85,68.52,69.2
2009-07-01T22:00:00Z,69.22,69.74,66.26,66.73
2009-07-02T22:00:00Z,66.49,67.17,65.4,65.63
2009-07-05T22:00:00Z,65.54,65.65,63.4,64.08
2009-07-06T22:00:00Z,64.19,64.91,62.21,62.23
2009-07-07T22:00:00Z,61.75,62.68,60.01,60.42
2009-07-08T22:00:00Z,60.38,61.62,59.25,60.48
2009-07-09T22:00:00Z,60.45,60.89,58.72,59.66
2009-07-12T22:00:00Z,59.86,60.67,58.32,59.69
2009-07-13T22:00:00Z,60.14,61.46,59.15,59.75
2009-07-14T22:00:00Z,59.79,62,59.65,61.9
2009-07-15T22:00:00Z,62,62.25,60.29,62.23
2009-07-16T22:00:00Z,62.24,63.99,61.04,63.42
2009-07-19T22:00:00Z,63.38,64.9,63.19,64.25
2009-07-20T22:00:00Z,65.36,66.68,64.53,65.01
2009-07-21T22:00:00Z,65.03,65.77,63.76,65.44
2009-07-22T22:00:00Z,65.4,67.49,64.4,66.72
2009-07-23T22:00:00Z,66.62,68.2,66.46,68.11
2009-07-26T22:00:00Z,68.05,68.99,67.6,68.15
2009-07-27T22:00:00Z,68.26,68.86,66.48,66.72
2009-07-28T22:00:00Z,66.68,67.01,62.7,63.35
2009-07-29T22:00:00Z,62.86,67.29,62.76,66.69
2009-07-30T22:00:00Z,66.69,69.74,64.96,69.5
2009-08-02T22:00:00Z,69.3,72.2,69.09,71.34
2009-08-03T22:00:00Z,71.34,71.95,70.16,71.81
2009-08-04T22:00:00Z,71.82,72.1,69.71,71.77
2009-08-05T22:00:00Z,71.83,72.42,70.18,71.82
2009-08-06T22:00:00Z,71.81,72.84,70.38,70.57
2009-08-09T22:00:00Z,70.67,71.57,70.09,70.63
2009-08-10T22:00:00Z,70.76,71.25,68.71,69.59
2009-08-11T22:00:00Z,69.67,71.13,68.84,70.59
2009-08-12T22:00:00Z,70.54,72.21,70.05,70.99
2009-08-13T22:00:00Z,70.9,71.6,67.12,67.51
2009-08-16T22:00:00Z,67.69,67.69,65.23,66.75
2009-08-17T22:00:00Z,66.8,70.29,66.11,70.25
2009-08-18T22:00:00Z,70.25,72.8,68.05,72.23
2009-08-19T22:00:00Z,73.55,74.07,72.53,72.84
2009-08-20T22:00:00Z,72.88,74.72,72.03,73.89
2009-08-23T22:00:00Z,73.75,74.81,73.57,74.01
2009-08-24T22:00:00Z,73.97,75,71.11,72.05
2009-08-25T22:00:00Z,71.35,72.64,70.67,71.3
2009-08-26T22:00:00Z,71.36,72.95,69.83,72.83
2009-08-27T22:00:00Z,72.86,73.52,71.78,72.86
2009-08-30T22:00:00Z,72.75,73.36,69.13,69.57
2009-08-31T22:00:00Z,69.56,71.37,68,68.22
2009-09-01T22:00:00Z,68.2,68.8,67.05,68.08
2009-09-02T22:00:00Z,68.15,69.4,67.66,68.11
2009-09-03T22:00:00Z,68.19,68.78,67.12,68.02
2009-09-07T22:00:00Z,68.11,71.79,67.54,71.33
2009-09-08T22:00:00Z,71.33,72.52,70.66,71.68
2009-09-09T22:00:00Z,71.64,72.44,70.86,72.08
2009-09-10T22:00:00Z,72.05,72.9,68.82,69.12
2009-09-13T22:00:00Z,69.15,69.51,68.02,68.71
2009-09-14T22:00:00Z,68.78,71.19,68.48,70.3
2009-09-15T22:00:00Z,70.4,72.56,70.14,72.44
2009-09-16T22:00:00Z,72.31,73.16,71.66,72.4
2009-09-17T22:00:00Z,72.4,72.66,71.27,72.04
2009-09-20T22:00:00Z,71.78,72.2,68.96,69.52
2009-09-21T22:00:00Z,69.77,72.03,69.74,71.62
2009-09-22T22:00:00Z,71.63,71.81,68.04,68.33
2009-09-23T22:00:00Z,68.33,68.77,65.6,65.98
2009-09-24T22:00:00Z,65.92,67.09,65.05,66.02
2009-09-27T22:00:00Z,66.15,67.54,65.41,67.2
2009-09-28T22:00:00Z,67.11,67.33,65.82,66.73
2009-09-29T22:00:00Z,66.71,70.72,66.22,70.4
2009-09-30T22:00:00Z,70.4,71.39,69.13,70.26
2009-10-01T22:00:00Z,70.35,70.69,68.32,69.95
2009-10-04T22:00:00Z,69.81,71,68.05,70.25
2009-10-05T22:00:00Z,70.26,71.97,70.06,71.19
2009-10-06T22:00:00Z,71.16,71.76,68.88,69.83
2009-10-07T22:00:00Z,69.8,72.55,69.17,71.4
2009-10-08T22:00:00Z,71.42,72.35,70.62,71.77
2009-10-11T22:00:00Z,72.24,73.84,72.05,73.1
2009-10-12T22:00:00Z,73.17,74.55,72.83,74.42
2009-10-13T22:00:00Z,74.4,75.53,74.4,75.33
2009-10-14T22:00:00Z,75.34,77.97,74.79,77.58
2009-10-15T22:00:00Z,77.76,78.75,76.82,78.53
2009-10-18T22:00:00Z,78.56,79.69,78.05,79.6
2009-10-19T22:00:00Z,79.98,80.4,78.32,78.64
2009-10-20T22:00:00Z,78.69,82,77.64,81.01
2009-10-21T22:00:00Z,81.04,81.5,79.86,81.27
2009-10-22T22:00:00Z,81.26,81.78,79.55,79.64
2009-10-25T22:00:00Z,79.65,81.58,77.97,78.63
