time,open,high,low,close,Shapes,Shapes,Jaw,Teeth,Lips,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,%R,CCI Turbo Histogram,CCI Turbo,CCI 14
2021-11-02T00:00:00Z,60949.78,64300,60669.91,63260,0,1,57284.13411499352,59929.45398759738,61009.54631080972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-35.467119860265306,84.47645839652257,132.66043710830826,84.47645839652257
2021-11-03T00:00:00Z,63260,63567.21,60018.46,62930.72,0,0,57613.40456768633,60133.651614147704,61051.52204864777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.461993729917694,98.159580935871,76.01276692568415,98.159580935871
2021-11-04T00:00:00Z,62945.38,63136.82,60725,61457.25,0,0,57781.18152401816,60306.71641237924,61041.21763891822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.0984126984127,4.038764931261363,-46.486526767615885,4.038764931261363
2021-11-05T00:00:00Z,61430.02,62666.52,60769.17,61031.91,0,0,57911.43679140137,60420.80498583183,61329.965111134574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.49955555555551,-28.39630141276574,-62.690095519178485,-28.39630141276574
2021-11-06T00:00:00Z,61008.19,61609.5,60109.91,61542.44,1,0,58192.32896129358,60493.20436260285,61422.539088907666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-35.01663492063489,7.522248265322102,-25.454861256039422,7.522248265322102
2021-11-07T00:00:00Z,61542.43,63300,61396.57,63300,0,0,58448.16288734793,60742.1731922775,61524.21327112613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.698412698412698,110.0306927599965,76.66290537669127,110.0306927599965
2021-11-08T00:00:00Z,63300,67803.55,63300,67559,0,0,58661.336896013476,60873.505918242816,61562.939616900905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.149219364506047,270.40720318473166,186.5903841774846,270.40720318473166
2021-11-09T00:00:00Z,67547.49,68564.4,66250,66945.72,0,0,58841.23405785859,61005.68142846247,61422.29269352072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.33410217967934,176.84987590224992,91.51280754909232,176.84987590224992
2021-11-10T00:00:00Z,66928.42,69000,62856.71,64921.43,0,1,59121.52028417716,61094.701874904655,61607.491154816584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.43395626242545,81.82712580710299,20.79959857731142,81.82712580710299
2021-11-11T00:00:00Z,64919.18,65625.44,64140,64821.33,0,0,59327.006031548146,61065.32726554157,62396.347923853275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.98599999999998,65.41845050266326,-1.1058778699446712,65.41845050266326
2021-11-12T00:00:00Z,64783.13,65497.53,62294.84,64158.41,1,0,59527.30633681368,61225.696982348876,63398.51833908262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.964105263157855,33.73716349930973,-57.209311778947296,33.73716349930973
2021-11-13T00:00:00Z,64140.23,64980,63400,64417.52,0,0,59695.80931090494,61766.456734555264,63904.4856712661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.2366315789474,36.767218873449686,-59.100530832728964,36.767218873449686
2021-11-14T00:00:00Z,64403.43,65509.87,63595.76,65509.87,0,0,59785.33974852763,62471.54964273586,64100.132537012876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.73821052631577,67.98285841784984,34.659741615081735,67.98285841784984
2021-11-15T00:00:00Z,65509.87,66387.4,63348.91,63606.09,0,1,59982.48938325628,62903.650312393875,64059.3430296103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60.055513865105574,-15.645556893297902,-125.88399916194436,-15.645556893297902
2021-11-16T00:00:00Z,63621.61,63628,58563,60142.31,0,0,60410.89596915964,63151.03402334463,64085.47442368824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-84.86816134904669,-138.01085631336983,-191.06958343886348,-138.01085631336983
2021-11-17T00:00:00Z,60115.12,60888.5,58400,60373.65,0,0,60949.0732023012,63244.177895426554,64178.94253895059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81.38066037735848,-110.0984310387732,-95.83420618404332,-110.0984310387732
2021-11-18T00:00:00Z,60376.94,60978.39,56516.44,56917.66,0,0,61332.09487904726,63362.40565849823,64316.78503116048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-96.78601296425056,-182.43607786697808,-121.99335894846212,-182.43607786697808
2021-11-19T00:00:00Z,56924.94,58402.05,55640,58128.55,1,0,61605.21988835132,63511.20682618595,63672.52802492839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81.37312874251495,-126.8053557580164,-70.16764631281717,-126.8053557580164
2021-11-20T00:00:00Z,58126.46,59896.54,57424.27,59768.54,0,0,61781.447973862756,63680.825347912716,62866.87241994271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-69.09775449101795,-76.22427212798432,-2.331932998827403,-76.22427212798432
2021-11-21T00:00:00Z,59785.85,60090.55,58525.84,58678.47,0,1,61966.72120664254,63357.659679423625,62042.98093595416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77.25696107784431,-84.82357521184646,-19.69932101795287,-84.82357521184646
2021-11-22T00:00:00Z,58679.27,59516.78,55628.57,56294.11,0,0,62165.65149843927,62893.48346949567,61038.58974876333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-95.0226714719368,-115.80640096848467,-110.47911369447388,-115.80640096848467
2021-11-23T00:00:00Z,56283.8,57897.54,55128.6,57579.99,1,0,62373.536383174716,62375.22491080871,60562.95279901066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-82.32773908906096,-78.57928061451557,-21.75478635729518,-78.57928061451557
2021-11-24T00:00:00Z,57583.91,57750.2,55894.62,57185.06,0,0,62275.22589216128,61705.949921957625,60312.00123920853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81.73464312360109,-79.08690775770219,-54.67768834747062,-79.08690775770219
2021-11-25T00:00:00Z,57169.19,59445.45,57044.42,58990.14,0,1,62072.843131225796,61325.25680671292,59764.13599136683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-65.70202863537854,-30.336981772966872,56.90956973383134,-30.336981772966872
2021-11-26T00:00:00Z,59004.88,59207.36,53524.03,53789.35,0,0,61817.04096728536,61073.1240808738,59113.922793093465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-97.93739898642424,-149.10105972933047,-161.25735117887524,-149.10105972933047
2021-11-27T00:00:00Z,53794.32,55382,53653.45,54774.66,0,0,61448.11666210957,60635.567945764575,58655.62023447477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-90.27758666663553,-112.83073838984976,-74.67139931085752,-112.83073838984976
2021-11-28T00:00:00Z,54764.24,57482.42,53308.93,57338.55,1,0,61233.67730348576,60120.255702544004,58573.48318757982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-69.18890359499234,-27.96878170402212,31.316323111162216,-27.96878170402212
2021-11-29T00:00:00Z,57327.32,58931.07,56750,57845.12,0,0,61085.563280140705,59708.02498972601,58131.925550063854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-56.04070909490873,6.735769559479079,50.22777978827796,6.735769559479079
2021-11-30T00:00:00Z,57843.33,59250,55918.8,56974.12,0,1,60815.341104745276,59525.138741010254,57409.08544005108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.21058588218723,-25.79665523369214,15.212508496845988,-25.79665523369214
2021-12-01T00:00:00Z,57027.28,59099.64,56469.22,57251.59,0,0,60484.39717361102,59130.20827338397,57006.40335204087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.59273012702333,0.02795438724694406,45.0776624087242,0.02795438724694406
2021-12-02T00:00:00Z,57232.71,57413.52,55839.85,56547.96,0,0,60202.705852564024,58553.64786421097,57173.22968163269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.23810829860715,-40.57830800163491,-21.351420875378025,-40.57830800163491
2021-12-03T00:00:00Z,56534.26,57652,51556.01,53743.69,0,0,60052.108094674484,58158.901256184596,57255.46374530615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.36674970179998,-157.1370944811507,-195.3176268513283,-157.1370944811507
2021-12-04T00:00:00Z,53685.47,53877.77,41967.5,49234.97,1,0,59768.5378566226,58119.10547416152,57361.25699624493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-59.89929951084393,-246.77815567270645,-159.68791962745448,-246.77815567270645
2021-12-05T00:00:00Z,49240.81,49777.62,47836.34,49463.22,0,0,59364.62917534394,58052.26728989134,57214.34259699595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.287592425444224,-170.77717068867597,-96.13983868096466,-170.77717068867597
2021-12-06T00:00:00Z,49484,50986,47111,50555,0,0,59059.32500800979,58018.78762865492,56692.27507759676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.866663424486276,-111.49834696612402,-49.084720927498346,-111.49834696612402
2021-12-07T00:00:00Z,50550.09,51991,50062.13,50627.32,0,1,58965.57193047058,57844.77480007306,54938.34706207741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.45288492071438,-91.86339059673966,-30.953509164706276,-91.86339059673966
2021-12-08T00:00:00Z,50635.87,51249.41,48656.2,50543.3,0,0,58859.327935819,57439.678575063925,53712.07364966193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.93360491361971,-79.92727932692333,-9.923125024596036,-79.92727932692333
2021-12-09T00:00:00Z,50535.15,50839.01,47332.43,47593.12,0,0,58776.64347921754,56250.04812818093,52779.35891972955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67.44903804426441,-122.18895234253857,-152.83399977795239,-122.18895234253857
2021-12-10T00:00:00Z,47573.43,50132.88,46886,47142.42,0,0,58611.26205773927,55319.66461215832,52428.80013578364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70.05687834514684,-107.66027378890293,-111.53889480583177,-107.66027378890293
2021-12-11T00:00:00Z,47179.53,49539.4,46789,49400.54,0,0,58303.01151483625,54535.76903563853,51933.60110862691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-56.99094459713582,-56.83073189761075,4.646385953594299,-56.83073189761075
2021-12-12T00:00:00Z,49420.51,50800,48675,50124.38,0,1,57504.521013695005,54097.11853118371,51364.024886901534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.802661651960086,-37.15443187411133,47.353725702617965,-37.15443187411133
2021-12-13T00:00:00Z,50102.31,50226.2,45750,46725.02,1,0,56835.47939725693,53579.07933978575,50793.107909521226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-72.47203818891944,-103.13135799635491,-86.57916321044178,-103.13135799635491
2021-12-14T00:00:00Z,46736.7,48689.3,46310.4,48389.96,0,0,56236.480982083325,53017.40942231253,50267.326327616975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-62.512213885714225,-61.78494058650287,9.960460590738004,-61.78494058650287
2021-12-15T00:00:00Z,48386.95,49514.85,46560,48876.84,0,0,55835.71821423076,52453.913244523465,50161.36106209358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-55.947974114571736,-38.91694469252079,28.2305507272809,-38.91694469252079
2021-12-16T00:00:00Z,48876.84,49449,47506.21,47663.42,0,0,55383.186428520705,51917.699088958034,49726.70884967486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-63.684401797953406,-80.69839685211414,-61.643335419866034,-80.69839685211414
2021-12-17T00:00:00Z,47654.99,48018.52,45478.74,46210.92,1,0,54898.76593401911,51645.17420283828,49281.33707973989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-64.37175647571382,-134.88897770232114,-105.27389320290025,-134.88897770232114
2021-12-18T00:00:00Z,46141.63,47370.14,45501,46881.87,0,0,54407.27932370995,51188.03992748349,49032.55466379192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-78.45402364156216,-83.75935289625484,-45.077370555176394,-83.75935289625484
2021-12-19T00:00:00Z,46854.18,48307.34,46450,46704.67,0,0,53927.04245265533,50727.01618654806,48921.56473103353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81.17504522239592,-80.19840885082873,-58.443670332009134,-80.19840885082873
2021-12-20T00:00:00Z,46671.66,47547.5,45572.94,46915,0,0,53604.769956297234,50390.817288229555,48486.97778482683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77.94529088212077,-61.610913929592286,-27.680643712526106,-61.610913929592286
2021-12-21T00:00:00Z,46926.72,49353.49,46667.08,48929.86,0,0,53172.718421197445,50151.66575220086,48076.69622786147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-40.195505894462876,52.36995411542436,158.68491373318616,52.36995411542436
2021-12-22T00:00:00Z,48907.75,49600,48449.87,48618.99,0,0,52736.34392725918,49726.28628317575,47937.09098228917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-41.4161973184187,49.092337412532274,88.87795698155522,49.092337412532274
